ligand,stat,RMSD_all,RMSD_heme,RMSD_ax
HIS-HOH,count,447.0,447.0,447.0
HIS-HOH,mean,0.3929132924223089,0.2739632236085547,0.2055571758491173
HIS-HOH,std,0.1888004565278015,0.1115223507885062,0.0846813019698677
HIS-HOH,min,0.0,0.0,0.0
HIS-HOH,25%,0.3079751916040133,0.2063867386469968,0.1623508819372814
HIS-HOH,50%,0.3779090434736452,0.2675563876697836,0.2047825897271598
HIS-HOH,75%,0.4567717549388197,0.3279871295601287,0.2459936113514729
HIS-HOH,max,1.845023719268964,0.818156187902788,0.5295980647620259
CYS,count,288.0,288.0,288.0
CYS,mean,0.3950699502259052,0.3289162919827694,0.3093341300006824
CYS,std,0.1125118552363315,0.0914057748256118,0.0912998504997684
CYS,min,0.0,0.0,0.0
CYS,25%,0.3432656367606779,0.2931739662467789,0.2636231522561293
CYS,50%,0.4238273258306028,0.3318536127176994,0.318936120472063
CYS,75%,0.4607972091968257,0.3810186561305758,0.3807295073689135
CYS,max,0.6143759535685483,0.5655806468173075,0.503609025488401
CYS-HOH,count,197.0,197.0,197.0
CYS-HOH,mean,0.378513671259068,0.2899238823135321,0.3582661587773635
CYS-HOH,std,0.1355664662960756,0.1087176234040287,0.1351816615881554
CYS-HOH,min,0.0,0.0,0.0
CYS-HOH,25%,0.3252096784034327,0.2462974826555425,0.32385548858498
CYS-HOH,50%,0.4174115973539933,0.3040591920018268,0.3800731632262273
CYS-HOH,75%,0.45961697573678,0.3492408040630312,0.4352870606074769
CYS-HOH,max,0.6190412244009,0.5330884300522457,0.7466493111357774
HIS,count,192.0,192.0,192.0
HIS,mean,0.5856018472523122,0.3959093603665231,0.0572904961691422
HIS,std,0.388299684034288,0.1391434344896584,0.0496946348528353
HIS,min,0.0,0.0,0.0
HIS,25%,0.3925189703363907,0.3061975528069584,0.0345000185632897
HIS,50%,0.450516384091762,0.4002889816659523,0.0439574073572097
HIS,75%,0.572459816119794,0.4879983971328627,0.0645595713951326
HIS,max,1.6247341291059822,0.695665999238758,0.4587248531629389
HIS-HIS,count,140.0,140.0,140.0
HIS-HIS,mean,0.3323524093582373,0.2641314692065559,0.3074887719578811
HIS-HIS,std,0.2381867147277481,0.1878254849569657,0.2602014213266163
HIS-HIS,min,0.0,0.0,0.0
HIS-HIS,25%,1.0224461887720061e-07,1.1048039141853296e-07,1.406116067456218e-07
HIS-HIS,50%,0.4032062583217098,0.3205124803272314,0.3417735579723731
HIS-HIS,75%,0.4994493076343806,0.407373055434606,0.438572896823135
HIS-HIS,max,1.035130458248599,0.6202817760448167,1.555786446920426
HIS-MET,count,132.0,132.0,132.0
HIS-MET,mean,0.4589501468639811,0.4266825322375505,0.3678575050232431
HIS-MET,std,0.1733337201096316,0.1579468536443895,0.208863788444767
HIS-MET,min,0.0,0.0,0.0
HIS-MET,25%,0.4406370447921546,0.4110887183617161,0.2360467610642785
HIS-MET,50%,0.4968036008597177,0.4780173469505789,0.3579912537755501
HIS-MET,75%,0.5555805398010356,0.5165487412880072,0.5202420867491022
HIS-MET,max,0.7617257648262644,0.6004746973302104,0.9289229029119463
HIS-OXY,count,38.0,38.0,38.0
HIS-OXY,mean,0.3553382828198582,0.3210985303977363,0.1530949099161836
HIS-OXY,std,0.0951528702215206,0.0925721229730736,0.0957162719910011
HIS-OXY,min,0.0,0.0,0.0
HIS-OXY,25%,0.3119613862328328,0.2754826339356987,0.1034220601083349
HIS-OXY,50%,0.359666925632975,0.3119247388959443,0.1239166065419929
HIS-OXY,75%,0.398190370275464,0.3655194713211332,0.1583016926013309
HIS-OXY,max,0.5560983110973342,0.5502139716073683,0.4848779738612193
TYR,count,16.0,16.0,16.0
TYR,mean,0.5151426644345857,0.3844073767167828,0.2196382853843457
TYR,std,0.2718683553757657,0.1787890947657248,0.117597498329628
TYR,min,0.0,0.0,0.0
TYR,25%,0.4350286997162746,0.3657066797116459,0.1336315526322596
TYR,50%,0.5422039592673273,0.4213310875018862,0.2566379946002826
TYR,75%,0.6169985550471957,0.4339304654554246,0.2866788049937372
TYR,max,1.1174039167949854,0.7209609884697133,0.3959589162489036
HIS-TYR,count,14.0,14.0,14.0
HIS-TYR,mean,0.4757466575137372,0.2365837593059295,0.5146621995138752
HIS-TYR,std,0.4187260178817805,0.208250858107186,0.4462607143446371
HIS-TYR,min,0.0,0.0,0.0
HIS-TYR,25%,3.5345521767668786e-08,3.6500241499888574e-08,5.129951034926596e-08
HIS-TYR,50%,0.4704412521447478,0.2340982796513789,0.6032959042972196
HIS-TYR,75%,0.7982067487627094,0.4331167182069374,0.7452374790428302
HIS-TYR,max,1.150161916035778,0.5086695959049431,1.227616327357218
TYR-HOH,count,9.0,9.0,9.0
TYR-HOH,mean,0.4538529052784956,0.3047009191631232,0.2181676103937997
TYR-HOH,std,0.1999492729646695,0.1311738149642318,0.2594720567560085
TYR-HOH,min,0.0,0.0,0.0
TYR-HOH,25%,0.3885601946204315,0.2870533001099407,0.0001094104658009
TYR-HOH,50%,0.5304892496003518,0.3011861072507958,0.0001325839121903
TYR-HOH,75%,0.5745248413612314,0.3669984187165344,0.4672237219546279
TYR-HOH,max,0.6253429293888672,0.4792384101904038,0.5320585023420776
CYS-HIS,count,9.0,9.0,9.0
CYS-HIS,mean,0.4828798533457184,0.3723012144719584,0.4814526446013235
CYS-HIS,std,0.1067590467498404,0.0744001865605983,0.2215342036618113
CYS-HIS,min,0.3643005243767445,0.2781244903843453,0.2999207501823624
CYS-HIS,25%,0.3699520762801145,0.3372111310863244,0.3386958620347784
CYS-HIS,50%,0.5084101446079611,0.3496535540307319,0.3910534432501573
CYS-HIS,75%,0.5768896207326963,0.4267453530484862,0.5641146143978931
CYS-HIS,max,0.6198493376158032,0.5102008067021093,0.9631756490612982
GLU-HIS,count,6.0,6.0,6.0
GLU-HIS,mean,1.0010708786151243,0.4305201087702071,0.4853102341707538
GLU-HIS,std,0.4024706209200708,0.1212936463958696,0.5266533941650888
GLU-HIS,min,0.5712565469359373,0.2752673283408201,0.0328509616298922
GLU-HIS,25%,0.6635304943679616,0.3482195930483883,0.0661397849923082
GLU-HIS,50%,0.9809076395436692,0.4275984562258402,0.2782699570964408
GLU-HIS,75%,1.3304489667162809,0.5296584712515086,0.9290258548037336
GLU-HIS,max,1.4686525905842591,0.5672179635794397,1.181096314204654
CYS-OXY,count,6.0,6.0,6.0
CYS-OXY,mean,0.4001010558658191,0.3329018498255798,0.4114177017997713
CYS-OXY,std,0.0311920039486037,0.0221495701543039,0.0523975522217314
CYS-OXY,min,0.3605902651184452,0.3021492639548229,0.3243651625565388
CYS-OXY,25%,0.3799521895476851,0.3202796187815642,0.3990619198322911
CYS-OXY,50%,0.3970480591265655,0.3318998223813496,0.4116253781899369
CYS-OXY,75%,0.4220031386206719,0.3477992756526699,0.4365426027242674
CYS-OXY,max,0.4413448870165727,0.3619568792445443,0.4811678472467618
HIS-PER,count,4.0,4.0,4.0
HIS-PER,mean,0.4048926563402814,0.2785306248332794,0.3282299951897577
HIS-PER,std,0.0720532101809675,0.0405797072293772,0.1153075304565809
HIS-PER,min,0.3111067902350211,0.2433733729940414,0.1838803687643073
HIS-PER,25%,0.3674599300414017,0.2601921022137814,0.2849920140796551
HIS-PER,50%,0.4199568258949617,0.2668333602817209,0.3321017099409477
HIS-PER,75%,0.4573895521938412,0.2851718829012188,0.3753396910510503
HIS-PER,max,0.4685501833361808,0.3370824057756344,0.4648361921128284
HIS-LYS,count,3.0,3.0,3.0
HIS-LYS,mean,0.5224709946773741,0.3496608317523512,0.5396512947617107
HIS-LYS,std,0.1086521775501208,0.1734234906082279,0.1303379181366936
HIS-LYS,min,0.406171111741744,0.1494154729148049,0.3958189096640068
HIS-LYS,25%,0.4730180419024744,0.2988828518335727,0.4845088516647004
HIS-LYS,50%,0.5398649720632048,0.4483502307523406,0.5731987936653941
HIS-LYS,75%,0.5806209361451893,0.4497835111711243,0.6115674873105628
HIS-LYS,max,0.6213769002271738,0.4512167915899082,0.6499361809557314
MET-MET,count,3.0,3.0,3.0
MET-MET,mean,0.2624959653129632,0.1865131339985547,0.2328281684036343
MET-MET,std,0.2413711924462846,0.1648366897426956,0.207061376036152
MET-MET,min,1.348699152348609e-07,0.0,3.5942953178616e-08
MET-MET,25%,0.1563072237358334,0.1234472988270767,0.1510748564044325
MET-MET,50%,0.3126143126017516,0.2468945976541534,0.3021496768659119
MET-MET,75%,0.3937438805344871,0.2797697009978321,0.3492422346339749
MET-MET,max,0.4748734484672227,0.312644804341511,0.3963347924020381
HOH-HOH,count,2.0,2.0,2.0
HOH-HOH,mean,0.3003761799129296,0.3081309110210514,7.996802249550067e-08
HOH-HOH,std,0.0629779105643563,0.0705493428465098,3.769728732309793e-08
HOH-HOH,min,0.2558440722879134,0.2582449922860297,5.331201499700045e-08
HOH-HOH,25%,0.2781101261004215,0.2831879516535406,6.664001874625056e-08
HOH-HOH,50%,0.3003761799129296,0.3081309110210514,7.996802249550067e-08
HOH-HOH,75%,0.3226422337254377,0.3330738703885623,9.329602624475078e-08
HOH-HOH,max,0.3449082875379459,0.3580168297560732,1.066240299940009e-07
HOH,count,2.0,2.0,2.0
HOH,mean,0.1318315902712102,0.1279020052778381,0.8234668610337115
HOH,std,0.1864380229107585,0.1808807505186339,1.1645580030386755
HOH,min,0.0,0.0,0.0
HOH,25%,0.0659157951356051,0.063951002638919,0.4117334305168557
HOH,50%,0.1318315902712102,0.1279020052778381,0.8234668610337115
HOH,75%,0.1977473854068153,0.1918530079167572,1.235200291550567
HOH,max,0.2636631805424205,0.2558040105556763,1.646933722067423
LYS-MET,count,1.0,1.0,1.0
LYS-MET,mean,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,std,,,
LYS-MET,min,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,25%,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,50%,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,75%,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,max,0.5028685157220715,0.4681459374181205,0.383019493424225
HIS-TRP,count,1.0,1.0,1.0
HIS-TRP,mean,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,std,,,
HIS-TRP,min,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,25%,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,50%,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,75%,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,max,0.8200292664326344,0.4570310406586026,1.1878902850237578
HOH-OXY,count,1.0,1.0,1.0
HOH-OXY,mean,0.0,0.0,0.0
HOH-OXY,std,,,
HOH-OXY,min,0.0,0.0,0.0
HOH-OXY,25%,0.0,0.0,0.0
HOH-OXY,50%,0.0,0.0,0.0
HOH-OXY,75%,0.0,0.0,0.0
HOH-OXY,max,0.0,0.0,0.0
ARG-HIS,count,1.0,1.0,1.0
ARG-HIS,mean,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,std,,,
ARG-HIS,min,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,25%,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,50%,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,75%,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,max,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
MET-TYR,count,1.0,1.0,1.0
MET-TYR,mean,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,std,,,
MET-TYR,min,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,25%,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,50%,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,75%,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,max,0.6799664918966343,0.409387526181213,0.8093691895823506
GLY-HIS,count,1.0,1.0,1.0
GLY-HIS,mean,0.0,0.0,0.0
GLY-HIS,std,,,
GLY-HIS,min,0.0,0.0,0.0
GLY-HIS,25%,0.0,0.0,0.0
GLY-HIS,50%,0.0,0.0,0.0
GLY-HIS,75%,0.0,0.0,0.0
GLY-HIS,max,0.0,0.0,0.0
GLU,count,1.0,1.0,1.0
GLU,mean,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,std,,,
GLU,min,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,25%,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,50%,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,75%,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,max,0.4833456381565201,0.4878952119070178,0.4250884489459845
