ligand,RMSD_all,RMSD_heme,RMSD_ax
ARG-HIS,1.0,1.0,1.0
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,,,
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
ARG-HIS,1.7128496363332268e-07,1.6858739404357617e-07,1.2522357259723906e-07
CYS,281.0,281.0,281.0
CYS,0.40491155012056423,0.3371099348989966,0.317039962325767
CYS,0.09474270996273138,0.07610432466834016,0.07805300958582982
CYS,8.118214900577056e-08,8.429369702178808e-08,2.6656007498500224e-08
CYS,0.348717596602671,0.2961786440751102,0.2640605309779095
CYS,0.4255607353581407,0.3334683798695812,0.3200302034079238
CYS,0.4612744631095139,0.382271566872911,0.3811163931435881
CYS,0.6143759535685483,0.5655806468173075,0.503609025488401
CYS-HIS,9.0,9.0,9.0
CYS-HIS,0.4828798533457184,0.37230121447195846,0.48145264460132353
CYS-HIS,0.10675904674984046,0.07440018656059831,0.22153420366181134
CYS-HIS,0.3643005243767445,0.2781244903843453,0.2999207501823624
CYS-HIS,0.3699520762801145,0.3372111310863244,0.3386958620347784
CYS-HIS,0.5084101446079611,0.3496535540307319,0.3910534432501573
CYS-HIS,0.5768896207326963,0.4267453530484862,0.5641146143978931
CYS-HIS,0.6198493376158032,0.5102008067021093,0.9631756490612982
CYS-HOH,182.0,182.0,182.0
CYS-HOH,0.4070825958445522,0.31189652296746,0.38779358921425144
CYS-HOH,0.08912865780701014,0.07610640759847975,0.09096536396212479
CYS-HOH,1.1239159602905076e-07,1.460009659995543e-07,7.300048299977713e-08
CYS-HOH,0.35569267543572153,0.26384685859395673,0.34027740099015746
CYS-HOH,0.4208998200400021,0.3099441892307546,0.3885635173609301
CYS-HOH,0.4606835162660118,0.351260233172557,0.43712596563282735
CYS-HOH,0.6190412244009,0.5330884300522457,0.7466493111357774
CYS-OXY,6.0,6.0,6.0
CYS-OXY,0.4001010558658191,0.3329018498255798,0.4114177017997713
CYS-OXY,0.031192003948603716,0.022149570154303938,0.05239755222173145
CYS-OXY,0.3605902651184452,0.3021492639548229,0.3243651625565388
CYS-OXY,0.37995218954768517,0.3202796187815642,0.3990619198322911
CYS-OXY,0.39704805912656554,0.33189982238134963,0.41162537818993694
CYS-OXY,0.42200313862067196,0.34779927565266994,0.4365426027242674
CYS-OXY,0.4413448870165727,0.3619568792445443,0.4811678472467618
GLU,1.0,1.0,1.0
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,,,
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU,0.4833456381565201,0.4878952119070178,0.4250884489459845
GLU-HIS,6.0,6.0,6.0
GLU-HIS,1.0010708786151243,0.4305201087702071,0.48531023417075386
GLU-HIS,0.4024706209200708,0.12129364639586966,0.5266533941650888
GLU-HIS,0.5712565469359373,0.2752673283408201,0.0328509616298922
GLU-HIS,0.6635304943679616,0.34821959304838834,0.06613978499230823
GLU-HIS,0.9809076395436691,0.42759845622584025,0.27826995709644087
GLU-HIS,1.3304489667162809,0.5296584712515086,0.9290258548037336
GLU-HIS,1.4686525905842591,0.5672179635794397,1.181096314204654
HIS,189.0,189.0,189.0
HIS,0.5948971146690155,0.40219363529715946,0.05819986893403367
HIS,0.38421805488003324,0.13087744865560086,0.04955560180882534
HIS,7.786718186642898e-08,8.429369702178808e-08,3.5942953178616e-08
HIS,0.3970781889398482,0.311039552381787,0.0347177477130348
HIS,0.4572434957136206,0.4043589240178794,0.0442244934083854
HIS,0.5735073828477596,0.4902694882753607,0.0651054601027655
HIS,1.6247341291059822,0.695665999238758,0.4587248531629389
HIS-HIS,107.0,107.0,107.0
HIS-HIS,0.43485361645858195,0.3455925715392328,0.4023217499276412
HIS-HIS,0.17146872620541734,0.13357910079034732,0.22420833632608347
HIS-HIS,1.0224461887720061e-07,8.429369702178808e-08,7.03058033728109e-08
HIS-HIS,0.37932925829293546,0.29109853359858706,0.31610901832637495
HIS-HIS,0.4411773401656378,0.360127636665024,0.3851557409333445
HIS-HIS,0.5260051697819648,0.4329109955345337,0.5020920822538422
HIS-HIS,1.035130458248599,0.6202817760448167,1.555786446920426
HIS-HOH,434.0,434.0,434.0
HIS-HOH,0.40468258441570754,0.2821694949470575,0.2117144184436762
HIS-HOH,0.17872318525585992,0.10241939241314053,0.07797197313776551
HIS-HOH,1.0798235265203437e-07,8.429369702178808e-08,2.6656007498500224e-08
HIS-HOH,0.3116076406073901,0.21181724588778483,0.16618990141268827
HIS-HOH,0.38214720021515136,0.2714412350238179,0.2067310036006137
HIS-HOH,0.4592069722125663,0.33142470993790013,0.24623788925900875
HIS-HOH,1.845023719268964,0.818156187902788,0.5295980647620259
HIS-LYS,3.0,3.0,3.0
HIS-LYS,0.5224709946773741,0.34966083175235124,0.5396512947617107
HIS-LYS,0.10865217755012085,0.17342349060822798,0.13033791813669365
HIS-LYS,0.406171111741744,0.1494154729148049,0.3958189096640068
HIS-LYS,0.47301804190247443,0.29888285183357277,0.4845088516647004
HIS-LYS,0.5398649720632048,0.4483502307523406,0.5731987936653941
HIS-LYS,0.5806209361451893,0.44978351117112436,0.6115674873105628
HIS-LYS,0.6213769002271738,0.4512167915899082,0.6499361809557314
HIS-MET,123.0,123.0,123.0
HIS-MET,0.49253186140593785,0.45790319730530166,0.39477390488825886
HIS-MET,0.12484127850854203,0.11124008648691865,0.1900769934768799
HIS-MET,1.0224461887720061e-07,8.429369702178808e-08,7.03058033728109e-08
HIS-MET,0.4547934481083953,0.4367878235485325,0.26521334597745744
HIS-MET,0.5004452301073721,0.4817509869627338,0.3616252558309429
HIS-MET,0.5631100315665087,0.517336354408906,0.5447445746234225
HIS-MET,0.7617257648262644,0.6004746973302104,0.9289229029119463
HIS-OXY,37.0,37.0,37.0
HIS-OXY,0.36494202019336786,0.32977686905713466,0.1572326101841886
HIS-OXY,0.07552090798382338,0.07659131373019837,0.09352775323260581
HIS-OXY,0.2203468007015985,0.1929094612522572,0.0672920682812887
HIS-OXY,0.3145579621987948,0.2799403378246299,0.105605740310206
HIS-OXY,0.3600586382515796,0.3151732422042588,0.1248431161406276
HIS-OXY,0.3983871443305945,0.3703113075431911,0.1589188531786316
HIS-OXY,0.5560983110973342,0.5502139716073683,0.4848779738612193
HIS-PER,4.0,4.0,4.0
HIS-PER,0.4048926563402814,0.2785306248332794,0.32822999518975776
HIS-PER,0.07205321018096751,0.040579707229377204,0.11530753045658096
HIS-PER,0.3111067902350211,0.2433733729940414,0.1838803687643073
HIS-PER,0.36745993004140176,0.2601921022137814,0.28499201407965513
HIS-PER,0.4199568258949617,0.2668333602817209,0.3321017099409477
HIS-PER,0.45738955219384125,0.2851718829012188,0.37533969105105036
HIS-PER,0.4685501833361808,0.3370824057756344,0.4648361921128284
HIS-TRP,1.0,1.0,1.0
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,,,
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TRP,0.8200292664326344,0.4570310406586026,1.1878902850237578
HIS-TYR,10.0,10.0,10.0
HIS-TYR,0.6660453205192322,0.3312172630283014,0.7205270793194252
HIS-TYR,0.3352998450319373,0.16678227916588528,0.35049487575405286
HIS-TYR,1.4138208707067514e-07,1.460009659995543e-07,2.0519804139706385e-07
HIS-TYR,0.4597885589891621,0.22524510289044716,0.5887608702297517
HIS-TYR,0.689877009087845,0.3591839686912103,0.7255008609092476
HIS-TYR,0.8654818199114698,0.47503523812612414,0.8076733692502513
HIS-TYR,1.150161916035778,0.5086695959049431,1.227616327357218
HOH,1.0,1.0,1.0
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH,,,
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH,0.2636631805424205,0.2558040105556763,1.646933722067423
HOH-HOH,2.0,2.0,2.0
HOH-HOH,0.30037617991292964,0.30813091102105145,7.996802249550067e-08
HOH-HOH,0.0629779105643563,0.07054934284650982,3.769728732309793e-08
HOH-HOH,0.2558440722879134,0.2582449922860297,5.3312014997000454e-08
HOH-HOH,0.2781101261004215,0.2831879516535406,6.664001874625056e-08
HOH-HOH,0.30037617991292964,0.30813091102105145,7.996802249550067e-08
HOH-HOH,0.32264223372543777,0.3330738703885623,9.329602624475078e-08
HOH-HOH,0.3449082875379459,0.3580168297560732,1.066240299940009e-07
LYS-MET,1.0,1.0,1.0
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,,,
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
LYS-MET,0.5028685157220715,0.4681459374181205,0.383019493424225
MET-MET,2.0,2.0,2.0
MET-MET,0.39374388053448717,0.27976970099783216,0.34924223463397497
MET-MET,0.11473453527994394,0.04649241701304764,0.06659893388243332
MET-MET,0.3126143126017516,0.2468945976541534,0.3021496768659119
MET-MET,0.35317909656811936,0.2633321493259928,0.3256959557499434
MET-MET,0.39374388053448717,0.27976970099783216,0.34924223463397497
MET-MET,0.4343086645008549,0.2962072526696716,0.37278851351800657
MET-MET,0.4748734484672227,0.312644804341511,0.3963347924020381
MET-TYR,1.0,1.0,1.0
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,,,
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
MET-TYR,0.6799664918966343,0.409387526181213,0.8093691895823506
TYR,14.0,14.0,14.0
TYR,0.5887344736395264,0.43932270420579494,0.25101518018717534
TYR,0.19653176471199382,0.10441244711606412,0.08645697334708656
TYR,0.3626282701294561,0.2824558620953347,0.0972767915090816
TYR,0.4585955960192369,0.38681460849379834,0.21573904623164258
TYR,0.5815803899042457,0.4266375730535753,0.26895914424049944
TYR,0.6248442782605212,0.43477036127682955,0.2950185792019215
TYR,1.1174039167949854,0.7209609884697133,0.3959589162489036
TYR-HOH,8.0,8.0,8.0
TYR-HOH,0.5105845184383075,0.3427885340585136,0.24543856169302472
TYR-HOH,0.11219079857186663,0.06887315094946614,0.2632378721652143
TYR-HOH,0.2976712248851395,0.2847798071571791,1.8082827720584223e-05
TYR-HOH,0.4815076829550793,0.2955554812510426,0.0001142419192982
TYR-HOH,0.5419363071284924,0.3121928582674681,0.2293460703623147
TYR-HOH,0.5814471720027179,0.375614583569327,0.47674048717235695
TYR-HOH,0.6253429293888672,0.4792384101904038,0.5320585023420776
